,county,liters_sold,population_over_18,liters_sold_per_adult
0,Polk,29930652.229999878,371762,80.51025180088303
1,Linn,12167698.729999969,177790,68.4386002024859
2,Scott,9396626.759999985,133621,70.32297887308121
3,Johnson,7721792.780000004,122741,62.91127479815224
4,Black Hawk,7397299.17000001,102292,72.31551998201238
5,Pottawattamie,4919518.660000002,71748,68.56663126498303
6,Woodbury,4714513.440000006,78184,60.300233295815076
7,Story,4275882.300000002,82376,51.90689399825194
8,Dubuque,4272910.420000002,76732,55.68615988114479
9,Dallas,3558796.899999999,72864,48.841635101010084
