,county,liters_sold,population_over_18,liters_sold_per_adult
0,Polk,19676359.27000018,371762,52.92730098826716
1,Linn,8134965.330000026,177790,45.756034253895194
2,Scott,6441006.989999997,133621,48.203553258844025
3,Johnson,5092610.37999998,122741,41.49070302506889
4,Black Hawk,4973906.299999983,102292,48.624587455519325
5,Pottawattamie,3274895.5799999903,71748,45.64441629034942
6,Woodbury,3132042.699999994,78184,40.059893328558196
7,Story,2887953.689999997,82376,35.05819279887342
8,Dubuque,2867264.5599999987,76732,37.36725955272896
9,Dallas,2241213.5900000017,72864,30.758860205314033
