liters_sold_county,month,year,county,month_year
90066.27999999997,1,2018,Black Hawk,2018-01-01
55381.34000000002,1,2018,Woodbury,2018-01-01
96773.08999999998,1,2018,Scott,2018-01-01
48652.899999999994,1,2018,Pottawattamie,2018-01-01
298855.1499999998,1,2018,Polk,2018-01-01
55611.66999999998,1,2018,Story,2018-01-01
92307.21000000002,1,2018,Johnson,2018-01-01
54963.049999999974,1,2018,Dubuque,2018-01-01
17174.020000000008,1,2018,Dallas,2018-01-01
135373.15999999992,1,2018,Linn,2018-01-01
86793.84999999996,2,2018,Black Hawk,2018-02-01
50471.03999999999,2,2018,Woodbury,2018-02-01
56481.959999999985,2,2018,Pottawattamie,2018-02-01
97982.58000000002,2,2018,Scott,2018-02-01
26293.53,2,2018,Dallas,2018-02-01
334946.65,2,2018,Polk,2018-02-01
146369.71000000002,2,2018,Linn,2018-02-01
87991.17999999996,2,2018,Johnson,2018-02-01
50511.04,2,2018,Dubuque,2018-02-01
52609.479999999996,2,2018,Story,2018-02-01
112739.03,3,2018,Scott,2018-03-01
44923.61000000001,3,2018,Story,2018-03-01
50839.74999999999,3,2018,Woodbury,2018-03-01
136585.52999999997,3,2018,Linn,2018-03-01
89567.48,3,2018,Black Hawk,2018-03-01
50428.23000000002,3,2018,Dubuque,2018-03-01
77454.33999999997,3,2018,Johnson,2018-03-01
34328.57,3,2018,Dallas,2018-03-01
59633.76999999999,3,2018,Pottawattamie,2018-03-01
378124.0600000002,3,2018,Polk,2018-03-01
33655.88999999998,4,2018,Dallas,2018-04-01
54395.76000000001,4,2018,Dubuque,2018-04-01
101305.60000000002,4,2018,Johnson,2018-04-01
60546.87,4,2018,Story,2018-04-01
99040.49999999996,4,2018,Black Hawk,2018-04-01
56939.51000000001,4,2018,Woodbury,2018-04-01
163064.23000000013,4,2018,Linn,2018-04-01
398323.9599999999,4,2018,Polk,2018-04-01
68716.79999999999,4,2018,Pottawattamie,2018-04-01
117765.64000000003,4,2018,Scott,2018-04-01
58261.02999999997,5,2018,Pottawattamie,2018-05-01
59480.74,5,2018,Story,2018-05-01
75225.79000000001,5,2018,Woodbury,2018-05-01
435169.87000000005,5,2018,Polk,2018-05-01
196764.96000000008,5,2018,Linn,2018-05-01
103913.76999999995,5,2018,Black Hawk,2018-05-01
140061.95000000004,5,2018,Scott,2018-05-01
73326.89999999998,5,2018,Dubuque,2018-05-01
104304.78000000004,5,2018,Johnson,2018-05-01
31702.88999999999,5,2018,Dallas,2018-05-01
61958.92000000002,6,2018,Woodbury,2018-06-01
47180.25999999997,6,2018,Story,2018-06-01
125330.91999999998,6,2018,Scott,2018-06-01
74997.51000000002,6,2018,Pottawattamie,2018-06-01
415689.5100000001,6,2018,Polk,2018-06-01
57039.49,6,2018,Dubuque,2018-06-01
42116.269999999975,6,2018,Dallas,2018-06-01
98547.27000000002,6,2018,Black Hawk,2018-06-01
156933.11,6,2018,Linn,2018-06-01
100125.62000000002,6,2018,Johnson,2018-06-01
42545.18,7,2018,Story,2018-07-01
62557.85999999999,7,2018,Dubuque,2018-07-01
54908.700000000026,7,2018,Woodbury,2018-07-01
109304.55999999998,7,2018,Scott,2018-07-01
104622.23999999998,7,2018,Johnson,2018-07-01
378960.03,7,2018,Polk,2018-07-01
43032.57,7,2018,Dallas,2018-07-01
92726.2900000001,7,2018,Black Hawk,2018-07-01
160115.95999999996,7,2018,Linn,2018-07-01
57116.890000000014,7,2018,Pottawattamie,2018-07-01
75357.19999999997,8,2018,Pottawattamie,2018-08-01
69509.93999999997,8,2018,Woodbury,2018-08-01
69728.18,8,2018,Story,2018-08-01
112112.00999999994,8,2018,Black Hawk,2018-08-01
130564.15999999996,8,2018,Scott,2018-08-01
407878.5600000001,8,2018,Polk,2018-08-01
169909.59999999995,8,2018,Linn,2018-08-01
119714.97,8,2018,Johnson,2018-08-01
52945.920000000006,8,2018,Dubuque,2018-08-01
54352.810000000005,8,2018,Dallas,2018-08-01
22814.39000000001,9,2018,Dallas,2018-09-01
80864.04999999993,9,2018,Black Hawk,2018-09-01
