liters_sold_county,month,year,county,date
90066.27999999997,1,2018,BLACK HAWK,2018-01-01
17174.02000000001,1,2018,DALLAS,2018-01-01
54963.04999999998,1,2018,DUBUQUE,2018-01-01
92307.21,1,2018,JOHNSON,2018-01-01
135373.16,1,2018,LINN,2018-01-01
298855.14999999997,1,2018,POLK,2018-01-01
48652.900000000016,1,2018,POTTAWATTAMIE,2018-01-01
96773.08999999995,1,2018,SCOTT,2018-01-01
55611.66999999998,1,2018,STORY,2018-01-01
55381.33999999996,1,2018,WOODBURY,2018-01-01
77556.31000000001,1,2019,BLACK HAWK,2019-01-01
43576.639999999985,1,2019,DALLAS,2019-01-01
52307.70999999996,1,2019,DUBUQUE,2019-01-01
88059.40000000001,1,2019,JOHNSON,2019-01-01
136332.23,1,2019,LINN,2019-01-01
328830.9700000001,1,2019,POLK,2019-01-01
47762.50999999997,1,2019,POTTAWATTAMIE,2019-01-01
106496.63,1,2019,SCOTT,2019-01-01
51946.65999999999,1,2019,STORY,2019-01-01
56710.819999999985,1,2019,WOODBURY,2019-01-01
74738.71000000002,1,2020,BLACK HAWK,2020-01-01
32444.770000000004,1,2020,DALLAS,2020-01-01
45375.24999999999,1,2020,DUBUQUE,2020-01-01
76565.95999999999,1,2020,JOHNSON,2020-01-01
142927.82999999996,1,2020,LINN,2020-01-01
335597.96,1,2020,POLK,2020-01-01
63612.35999999994,1,2020,POTTAWATTAMIE,2020-01-01
108479.00999999998,1,2020,SCOTT,2020-01-01
53699.479999999996,1,2020,STORY,2020-01-01
44147.119999999995,1,2020,WOODBURY,2020-01-01
89638.54,1,2021,BLACK HAWK,2021-01-01
46796.00000000001,1,2021,DALLAS,2021-01-01
58666.34999999999,1,2021,DUBUQUE,2021-01-01
80110.21999999999,1,2021,JOHNSON,2021-01-01
165919.60000000015,1,2021,LINN,2021-01-01
337739.3099999997,1,2021,POLK,2021-01-01
62364.82999999994,1,2021,POTTAWATTAMIE,2021-01-01
121127.49999999997,1,2021,SCOTT,2021-01-01
53681.58999999999,1,2021,STORY,2021-01-01
60855.60999999998,1,2021,WOODBURY,2021-01-01
75473.45999999995,1,2022,BLACK HAWK,2022-01-01
39112.15000000001,1,2022,DALLAS,2022-01-01
51637.25999999997,1,2022,DUBUQUE,2022-01-01
83762.55999999998,1,2022,JOHNSON,2022-01-01
139070.44999999998,1,2022,LINN,2022-01-01
338370.05,1,2022,POLK,2022-01-01
49950.84,1,2022,POTTAWATTAMIE,2022-01-01
101298.11,1,2022,SCOTT,2022-01-01
48455.679999999986,1,2022,STORY,2022-01-01
52288.4,1,2022,WOODBURY,2022-01-01
90350.08999999998,1,2023,BLACK HAWK,2023-01-01
48070.92,1,2023,DALLAS,2023-01-01
51781.409999999996,1,2023,DUBUQUE,2023-01-01
103153.93999999999,1,2023,JOHNSON,2023-01-01
155855.92,1,2023,LINN,2023-01-01
372819.81,1,2023,POLK,2023-01-01
59293.689999999944,1,2023,POTTAWATTAMIE,2023-01-01
112237.0,1,2023,SCOTT,2023-01-01
43230.85999999999,1,2023,STORY,2023-01-01
61062.880000000005,1,2023,WOODBURY,2023-01-01
116986.58999999997,10,2018,BLACK HAWK,2018-10-01
33687.67999999999,10,2018,DALLAS,2018-10-01
70554.81999999999,10,2018,DUBUQUE,2018-10-01
115489.01999999999,10,2018,JOHNSON,2018-10-01
204342.82000000004,10,2018,LINN,2018-10-01
449326.98999999993,10,2018,POLK,2018-10-01
68025.87,10,2018,POTTAWATTAMIE,2018-10-01
177869.45000000013,10,2018,SCOTT,2018-10-01
71422.47999999998,10,2018,STORY,2018-10-01
74345.48999999998,10,2018,WOODBURY,2018-10-01
123613.18000000001,10,2019,BLACK HAWK,2019-10-01
66856.00999999998,10,2019,DALLAS,2019-10-01
51387.77999999999,10,2019,DUBUQUE,2019-10-01
128008.54000000008,10,2019,JOHNSON,2019-10-01
184939.54,10,2019,LINN,2019-10-01
465419.0599999999,10,2019,POLK,2019-10-01
68268.24000000005,10,2019,POTTAWATTAMIE,2019-10-01
137228.82000000007,10,2019,SCOTT,2019-10-01
67273.59000000001,10,2019,STORY,2019-10-01
66074.47999999997,10,2019,WOODBURY,2019-10-01
112488.57999999996,10,2020,BLACK HAWK,2020-10-01
51604.659999999996,10,2020,DALLAS,2020-10-01
61952.209999999985,10,2020,DUBUQUE,2020-10-01
120523.44999999995,10,2020,JOHNSON,2020-10-01
201059.41000000012,10,2020,LINN,2020-10-01
