month_year,county,liters_sold
2018-01-01,Black Hawk,90066.28000000003
2018-02-01,Black Hawk,86793.84999999999
2018-03-01,Black Hawk,89567.48000000008
2018-04-01,Black Hawk,99040.50000000006
2018-05-01,Black Hawk,103913.77000000003
2018-06-01,Black Hawk,98547.26999999999
2018-07-01,Black Hawk,92726.29000000011
2018-08-01,Black Hawk,112112.00999999997
2018-09-01,Black Hawk,80864.04999999999
2018-10-01,Black Hawk,116986.59000000001
2018-11-01,Black Hawk,95502.96000000005
2018-12-01,Black Hawk,118662.92000000001
2019-01-01,Black Hawk,77556.31000000001
2019-02-01,Black Hawk,96932.49000000005
2019-03-01,Black Hawk,86523.45
2019-04-01,Black Hawk,103183.11000000004
2019-05-01,Black Hawk,110604.29999999999
2019-06-01,Black Hawk,100192.04999999997
2019-07-01,Black Hawk,107683.89000000003
2019-08-01,Black Hawk,88317.89000000001
2019-09-01,Black Hawk,86052.51999999997
2019-10-01,Black Hawk,123613.18000000007
2019-11-01,Black Hawk,93232.75000000001
2019-12-01,Black Hawk,122565.23999999993
2020-01-01,Black Hawk,74738.71
2020-02-01,Black Hawk,97712.37999999998
2020-03-01,Black Hawk,103234.42999999998
2020-04-01,Black Hawk,100851.04999999996
2020-05-01,Black Hawk,97244.63
2020-06-01,Black Hawk,126133.77000000002
2020-07-01,Black Hawk,104834.06999999995
2020-08-01,Black Hawk,100707.24999999999
2020-09-01,Black Hawk,119747.41000000003
2020-10-01,Black Hawk,112488.57999999999
2020-11-01,Black Hawk,105285.27
2020-12-01,Black Hawk,128643.87000000002
2021-01-01,Black Hawk,89638.54
2021-02-01,Black Hawk,101567.69999999992
2021-03-01,Black Hawk,105291.55000000005
2021-04-01,Black Hawk,114867.45
2021-05-01,Black Hawk,105435.71999999994
2021-06-01,Black Hawk,112885.25999999991
2021-07-01,Black Hawk,115423.6
2021-08-01,Black Hawk,105258.30999999997
2021-09-01,Black Hawk,116748.05000000006
2021-10-01,Black Hawk,104138.20999999999
2021-11-01,Black Hawk,114108.50999999995
2021-12-01,Black Hawk,135680.82999999993
2022-01-01,Black Hawk,75473.45999999996
2022-02-01,Black Hawk,99177.30000000005
2022-03-01,Black Hawk,97017.34000000001
2022-04-01,Black Hawk,103091.80000000002
2022-05-01,Black Hawk,101925.59
2022-06-01,Black Hawk,112822.79
