month_year,County,Liters Sold
2018-01-01,Black Hawk,90066.27999999997
2018-02-01,Black Hawk,86793.84999999996
2018-03-01,Black Hawk,89567.48
2018-04-01,Black Hawk,99040.49999999996
2018-05-01,Black Hawk,103913.76999999995
2018-06-01,Black Hawk,98547.27000000002
2018-07-01,Black Hawk,92726.2900000001
2018-08-01,Black Hawk,112112.00999999994
2018-09-01,Black Hawk,80864.04999999993
2018-10-01,Black Hawk,116986.58999999991
2018-11-01,Black Hawk,95502.96000000005
2018-12-01,Black Hawk,118662.92000000003
2019-01-01,Black Hawk,77556.31000000004
2019-02-01,Black Hawk,96932.48999999998
2019-03-01,Black Hawk,86523.45000000003
2019-04-01,Black Hawk,103183.11
2019-05-01,Black Hawk,110604.30000000009
2019-06-01,Black Hawk,100192.05000000006
2019-07-01,Black Hawk,107683.89000000004
2019-08-01,Black Hawk,88317.88999999996
2019-09-01,Black Hawk,86052.52000000005
2019-10-01,Black Hawk,123613.18000000002
2019-11-01,Black Hawk,93232.74999999999
2019-12-01,Black Hawk,122565.24000000002
2020-01-01,Black Hawk,74738.71
2020-02-01,Black Hawk,97712.38000000002
2020-03-01,Black Hawk,103234.43000000004
2020-04-01,Black Hawk,100851.05000000002
2020-05-01,Black Hawk,97244.63
2020-06-01,Black Hawk,126133.77
2020-07-01,Black Hawk,104834.07
2020-08-01,Black Hawk,100707.24999999997
2020-09-01,Black Hawk,119747.40999999997
2020-10-01,Black Hawk,112488.58000000002
2020-11-01,Black Hawk,105285.26999999997
2020-12-01,Black Hawk,128643.86999999997
2021-01-01,Black Hawk,89638.54000000001
2021-02-01,Black Hawk,101567.7
2021-03-01,Black Hawk,105291.54999999996
2021-04-01,Black Hawk,114867.45
2021-05-01,Black Hawk,105435.72
2021-06-01,Black Hawk,112885.25999999995
2021-07-01,Black Hawk,115423.6
2021-08-01,Black Hawk,105258.30999999997
2021-09-01,Black Hawk,116748.05000000006
2021-10-01,Black Hawk,104138.20999999999
2021-11-01,Black Hawk,114108.51000000001
2021-12-01,Black Hawk,135680.83000000005
2022-01-01,Black Hawk,75473.45999999998
2022-02-01,Black Hawk,99177.29999999999
2022-03-01,Black Hawk,97017.33999999998
2022-04-01,Black Hawk,103091.8
2022-05-01,Black Hawk,101925.59000000003
2022-06-01,Black Hawk,112822.79000000001
2022-07-01,Black Hawk,90567.36000000002
2022-08-01,Black Hawk,101522.32000000002
2022-09-01,Black Hawk,115759.34999999999
2022-10-01,Black Hawk,108275.76000000004
2022-11-01,Black Hawk,96754.86999999994
2022-12-01,Black Hawk,114792.10000000003
2023-01-01,Black Hawk,90350.09000000001
2023-02-01,Black Hawk,95129.52
2023-03-01,Black Hawk,108404.15999999995
2023-04-01,Black Hawk,91925.07999999999
2023-05-01,Black Hawk,104774.6
2023-06-01,Black Hawk,114228.62999999999
2023-07-01,Black Hawk,87769.74000000002
2023-08-01,Black Hawk,108616.83000000002
2023-09-01,Black Hawk,89351.46999999997
2023-10-01,Black Hawk,105724.73
2023-11-01,Black Hawk,103773.96999999999
2023-12-01,Black Hawk,106164.01000000001
2018-01-01,Dallas,17174.020000000008
2018-02-01,Dallas,26293.53
2018-03-01,Dallas,34328.57
2018-04-01,Dallas,33655.88999999998
2018-05-01,Dallas,31702.88999999999
2018-06-01,Dallas,42116.269999999975
2018-07-01,Dallas,43032.57
2018-08-01,Dallas,54352.810000000005
2018-09-01,Dallas,22814.39000000001
2018-10-01,Dallas,33687.67999999999
2018-11-01,Dallas,34706.24999999999
2018-12-01,Dallas,56346.039999999986
2019-01-01,Dallas,43576.639999999985
2019-02-01,Dallas,29703.950000000004
2019-03-01,Dallas,28025.069999999985
2019-04-01,Dallas,24970.209999999992
2019-05-01,Dallas,45406.55999999998
2019-06-01,Dallas,50096.70000000002
2019-07-01,Dallas,65359.87000000002
2019-08-01,Dallas,31521.78999999999
2019-09-01,Dallas,29915.949999999986
